file,word,phoneme,time_1third,time_mid,time_2third,time_start,time_end,duration,F0_avg,F1_1third,F1_mid,F1_2third,F2_1third,F2_mid,F2_2third,F3_1third,F3_mid,F3_2third
sound,HE,HH,0.18541194255486665,0.2718820861679,0.3583522297809333,0.0124716553288,0.531292517007,0.5188208616782,0,356.2148589102202,615.381731520569,1086.2983866943039,1615.4104231855506,1674.848382975401,2048.1351874004345,2226.7090717531664,2244.3465845551245,3297.4509236526183
sound,HE,IY1,0.637717309146,0.6909297052155,0.744142101285,0.531292517007,0.850566893424,0.31927437641700007,203.9078923002547,343.4632686122809,365.9093573820155,386.7108432755736,1807.5743929473613,2386.36590319781,2540.5792448429966,2295.387602545719,2458.2802030212442,3060.653497597728
sound,STOLE,S,0.8938019652306667,0.9154195011340001,0.9370370370373333,0.850566893424,0.980272108844,0.1297052154199999,0,294.58231991435395,421.6497239742558,492.38144852716283,1975.1469817455582,1936.6528375820199,2040.859178072759,3085.5109501809093,3038.040683297178,3451.359508676767
sound,STOLE,T,1.0002267573693333,1.010204081632,1.0201814058946668,0.980272108844,1.04013605442,0.059863945576000055,0,782.3160506986584,964.0665986203323,1352.2888766464812,1745.2639416155414,1761.733126192833,1749.8539977822038,2932.9393329935315,2627.9198127879467,2801.721850009577
sound,STOLE,OW1,1.0634164777,1.07505668934,1.08669690098,1.04013605442,1.10997732426,0.06984126983999994,150.6847919423558,455.70379722514366,448.6068914083387,441.1893505075847,1082.3084549882676,1029.05095420141,1001.2060286899309,2835.892563918152,2909.850810055598,2868.252733278544
sound,STOLE,L,1.1432350718033333,1.159863945575,1.1764928193466666,1.10997732426,1.20975056689,0.09977324262999998,143.78521777159602,437.7721386334862,441.1796837398822,445.0020302424496,950.5611941991936,1035.7116198785423,1147.0536110353648,2907.3040347387728,2871.447876345665,2857.598309397133
sound,THE,DH,1.2795918367333332,1.314512471655,1.3494331065766667,1.20975056689,1.41927437642,0.20952380953000005,143.58267708347637,412.9121273127692,301.0166878521369,302.8229755649056,1534.2061441337305,1504.2054011672922,1571.1793962744719,2753.476714424839,2377.0652155163802,1600.1969614415345
sound,THE,AH1,1.4492063492066667,1.4641723356,1.4791383219933334,1.41927437642,1.50907029478,0.08979591836000012,144.84354289353303,600.9040781446328,625.9215728443043,596.8677103569618,1348.6969675533928,1315.4049399994012,1227.7508040855498,2800.1137826675035,2840.7255907822314,2556.9085290016556
sound,MONEY,M,1.5256991685533334,1.5340136054400002,1.5423280423266668,1.50907029478,1.5589569161,0.04988662131999999,161.00966296472546,505.10006116589165,511.2904238034033,548.1242359451497,1101.7781292268244,1135.6429826549581,1124.5964051550243,2583.627817696013,2659.617589562769,2439.6672428712595
sound,MONEY,AH1,1.5789115646266667,1.5888888888900001,1.5988662131533333,1.5589569161,1.61882086168,0.059863945579999855,182.99943982996368,666.8220934594736,662.6150183444364,588.2652640027233,1523.7197368869693,1692.3430951843807,1734.6177997070813,2669.494036235496,2880.32320451768,2840.426226728131
sound,MONEY,N,1.6287981859433334,1.633786848075,1.6387755102066666,1.61882086168,1.64875283447,0.02993197279000004,186.6370669004229,451.08497737565494,457.25329935350237,436.6300204013694,1652.0667346427347,1642.7373060556429,1646.1317439671345,2811.6317855708016,2768.1741619299382,2723.0689845019638
sound,MONEY,IY0,1.71859410431,1.75351473923,1.78843537415,1.64875283447,1.85827664399,0.20952380952000005,139.6751269916926,410.4659865786719,373.51038162615873,322.85126512578336,1409.6130018755848,1730.8704815769904,1397.532572539822,2712.510277854123,3029.0073483058404,2701.346651840979
